event_slug,event_name,promoter,event_date,arm,weight_class,athlete_a,athlete_b,score_a,score_b,status,video_id,bout
east-vs-west-22,East vs West 22,East vs West,2026-02-28,left,Over 115 kg,Logan Bittinger,Eldar Bubenko,0,3,completed,wjKtUeY4bGw,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,left,Up to 60 kg,Carolina Pettersson,Esra Kiraz,1,3,completed,v_LxfciH1P4,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,left,Up to 85 kg,Luka Tsinadze,Iliya Saidov,3,0,completed,MSReE-00Ii8,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 105 kg,Curtis Cameron,Peter Čeleš,0,3,completed,eSJ-qCr6hvQ,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 105 kg,Nugzari Chikadze,Bogdan Stoica,3,2,completed,Ezj3oEKf5XE,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 85 kg,Vladislavs Krasovskis,Oleksandr Telyatnik,0,3,completed,Iuz6ST8REVc,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Over 115 kg,Efe Komek,Tarkhan Muzaffarov,3,0,completed,cxZc6dEOG60,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 115 kg,Matt Mask,Davit Arabuli,3,0,completed,gLSdyjA9dEg,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 70 kg,Fia Reisek,Brigitta Ivanfi,4,0,completed,axOrD8GgT5U,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 115 kg,Serhii Kalinichenko,Yordan Tsonev,0,3,completed,nWxA8YprsuI,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Over 115 kg,Kamil Jablonski,Michael Todd,3,0,completed,REKkIjOr_fs,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,right,Up to 105 kg,Oleg Petrenko,Todd Hutchings,4,0,completed,1y94C3SmMbA,
east-vs-west-22,East vs West 22,East vs West,2026-02-28,left,Over 115 kg,Devon Larratt,Vitalii Laletin,0,4,completed,B_-u3LQtX_I,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Over 115 kg,Duvan Bornman,André Nykonenko,3,1,completed,66r-YIlhxOw,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Up to 77 kg,Aleksi Zavrashvili,Artem Oriabinskyi,3,0,completed,njMswgvZ_Q8,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,left,Up to 95 kg,Zurab Tavberidze,Maayan Shterengas,3,2,completed,XQWxJDQyzjQ,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Over 115 kg,Riekerd Bornman,Lars Rørbakken,3,0,completed,aulhs6sJrrY,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,left,Over 80 kg,Egle Vaitkute,Azra Sari,3,0,completed,8CQKX0UnfFo,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,left,Up to 95 kg,Betkili Oniani,Rustam Babaiev,3,0,completed,045eo-3JRSo,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,left,Up to 105 kg,Aymeric Pradines,Matt Mask,3,0,completed,QEpHS1Q8BFQ,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Up to 60 kg,Ayane Takenaka,Melek Sahin,4,0,completed,l-sVDY4AVAc,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,left,Over 115 kg,Alizhan Muratov,Artyom Morozov,3,0,completed,Ih3gtAyU69A,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Up to 77 kg,Artur Makarov,Mindaugas Tarasaitis,4,0,completed,onz9Rpzs04E,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Up to 85 kg,Oleksandr Telyatnik,Davit Samushia,4,0,completed,Td05qj8uAvA,
east-vs-west-23,East vs West 23,East vs West,2026-04-18,right,Up to 115 kg,Ivan Matyushenko,Dave Chaffee,4,1,completed,B7BRhWp-Keg,
